"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Denver Broncos","","52.4","12.5","11.1","15.7","2.6","0.5","341.3","5,388.0","116.3"
"Buffalo Bills","","45.4","14.0","12.8","21.2","2.7","0.5","344.6","5,806.2","116.3"
"Philadelphia Eagles","","45.7","13.5","13.3","22.5","2.7","0.0","344.0","5,510.1","115.6"
"Houston Texans","","47.2","15.5","10.0","14.1","2.7","0.5","348.1","5,478.1","115.3"
"Baltimore Ravens","","52.4","13.9","9.7","13.7","2.3","0.5","340.7","5,350.5","114.3"
"Dallas Cowboys","","51.9","12.0","10.3","16.5","2.6","0.0","397.2","5,922.8","111.7"
"Pittsburgh Steelers","","43.9","13.8","12.1","20.1","2.5","0.0","347.4","5,679.5","110.7"
"Green Bay Packers","","46.1","12.5","11.7","18.4","2.2","0.5","363.0","5,647.6","108.6"
"Minnesota Vikings","","45.8","13.5","10.3","15.2","2.5","0.0","356.6","5,299.6","108.5"
"New York Giants","","50.8","10.5","11.9","19.2","2.1","0.0","419.9","5,855.7","108.3"
"Detroit Lions","","43.1","13.8","9.6","14.2","2.5","0.0","375.1","5,786.4","104.8"
"San Francisco 49ers","","42.9","13.5","8.9","14.1","2.3","1.0","384.0","5,638.2","103.6"
"Los Angeles Chargers","","46.8","12.3","9.9","15.3","2.1","0.0","371.0","5,794.4","103.5"
"Tampa Bay Buccaneers","","44.3","11.7","11.0","16.7","2.0","0.5","374.8","5,743.0","102.7"
"Kansas City Chiefs","","45.5","12.1","9.3","13.8","2.2","0.5","347.4","5,580.4","102.7"
"Washington Commanders","","45.9","11.1","10.3","16.0","2.1","0.5","398.9","6,104.0","102.4"
"Los Angeles Rams","","44.7","12.7","8.7","14.3","2.3","0.5","375.7","5,910.1","102.0"
"Indianapolis Colts","","41.8","12.8","9.6","15.8","2.2","1.0","408.0","5,851.6","102.0"
"Chicago Bears","","40.5","13.2","10.2","17.3","2.2","0.5","386.8","5,919.1","101.4"
"Seattle Seahawks","","45.1","12.9","8.6","14.2","2.0","0.5","362.2","5,632.5","101.3"
"Cleveland Browns","","44.9","11.1","9.2","14.4","2.2","0.0","417.7","5,984.7","98.8"
"New York Jets","","43.0","12.3","9.5","14.3","1.8","0.5","387.2","5,401.1","98.5"
"Arizona Cardinals","","41.4","11.7","8.9","14.7","2.1","1.0","398.7","5,805.8","97.1"
"Cincinnati Bengals","","40.1","12.4","9.3","14.7","2.1","0.0","422.5","6,156.1","96.2"
"Miami Dolphins","","40.0","11.4","9.0","13.1","2.0","0.5","392.9","5,708.0","93.7"
"Las Vegas Raiders","","42.5","11.0","8.0","12.5","1.9","0.5","418.2","5,762.8","93.1"
"Atlanta Falcons","","39.1","11.7","8.5","14.0","1.9","0.5","412.2","6,022.3","92.2"
"Jacksonville Jaguars","","38.8","12.0","8.2","11.2","2.0","0.0","413.0","5,851.0","90.9"
"New Orleans Saints","","37.9","13.1","7.6","9.7","1.8","0.0","389.7","5,855.2","90.1"
"Tennessee Titans","","39.6","10.9","8.6","13.8","1.7","0.5","421.1","5,702.6","89.8"
"New England Patriots","","36.1","11.5","8.2","11.7","1.6","0.0","402.5","5,520.5","85.3"
"Carolina Panthers","","34.7","11.2","7.8","11.9","1.7","0.0","442.4","6,334.1","83.0"
""
""